vendor,quarter,month,day,day_of_week,hour,pickup,dropoff,duration,distance,passengers,payment_type,total
VeriFone,1,3,2017-03-25,Saturday,8,100,231,844.0,3.34,6,Credit card,16.56
Creative Mobile,2,4,2017-04-11,Tuesday,14,186,43,1590.0,1.8,1,Credit card,20.8
Creative Mobile,4,12,2017-12-15,Friday,7,262,236,432.0,1.0,1,Credit card,8.75
VeriFone,2,5,2017-05-07,Sunday,13,188,97,1815.0,3.7,1,Credit card,27.69
VeriFone,2,4,2017-04-15,Saturday,23,4,112,1003.0000000000001,4.37,1,Cash,17.8
VeriFone,1,3,2017-03-25,Saturday,20,161,236,480.00000000000006,2.3,6,Credit card,12.36
VeriFone,2,5,2017-05-03,Wednesday,19,79,241,3578.0,12.83,1,Credit card,59.16
VeriFone,3,8,2017-08-15,Tuesday,17,237,114,1319.0,2.98,1,Credit card,19.58
VeriFone,1,2,2017-02-04,Saturday,16,234,249,727.0,1.2,1,Cash,9.8
Creative Mobile,4,11,2017-11-10,Friday,15,239,237,1226.0,1.6,1,Credit card,16.55
VeriFone,1,3,2017-03-04,Saturday,11,162,142,912.0,1.77,1,Credit card,14.76
VeriFone,1,3,2017-03-05,Sunday,19,236,132,2208.0,18.9,2,Credit card,72.92
Creative Mobile,2,6,2017-06-09,Friday,19,13,148,1185.0,3.0,1,Credit card,20.15
VeriFone,4,11,2017-11-06,Monday,23,209,25,472.00000000000006,2.39,1,Credit card,12.96
Creative Mobile,1,2,2017-02-22,Wednesday,15,238,161,1459.0,3.3,1,Credit card,22.85
VeriFone,2,6,2017-06-02,Friday,6,239,231,968.0000000000001,5.93,1,Credit card,22.8
Creative Mobile,3,8,2017-08-15,Tuesday,19,163,41,749.0,3.6,1,Credit card,17.15
VeriFone,3,7,2017-07-10,Monday,13,142,100,732.0,1.71,2,Credit card,10.3
VeriFone,2,4,2017-04-10,Monday,18,263,262,281.0,0.63,2,Cash,6.8
VeriFone,1,3,2017-03-05,Sunday,4,79,68,784.0,2.77,2,Credit card,16.0
Creative Mobile,4,12,2017-12-30,Saturday,23,166,238,373.0,1.1,1,Cash,7.8
VeriFone,4,10,2017-10-11,Wednesday,12,138,265,2869.0,12.3,1,Credit card,96.81
VeriFone,1,1,2017-01-06,Friday,20,90,249,390.0,0.52,1,Credit card,7.8
Creative Mobile,2,6,2017-06-27,Tuesday,0,162,263,323.0,1.7,1,Credit card,10.35
Creative Mobile,1,2,2017-02-13,Monday,10,237,237,278.0,0.9,1,Credit card,7.55
VeriFone,1,1,2017-01-14,Saturday,19,43,141,437.0,1.72,1,Credit card,12.09
Creative Mobile,4,11,2017-11-04,Saturday,1,50,263,966.0000000000001,2.7,1,Credit card,17.15
VeriFone,4,11,2017-11-24,Friday,10,237,161,284.0,0.85,1,Cash,6.3
Creative Mobile,4,11,2017-11-22,Wednesday,10,162,113,875.0,2.3,1,Credit card,14.15
Creative Mobile,3,8,2017-08-09,Wednesday,21,163,234,758.0,2.3,1,Credit card,13.57
Creative Mobile,2,4,2017-04-12,Wednesday,11,239,43,693.0,1.5,4,Cash,9.8
VeriFone,3,7,2017-07-26,Wednesday,23,132,149,1739.0,14.32,1,Cash,41.8
Creative Mobile,4,10,2017-10-26,Thursday,19,230,238,1375.0,2.9,1,Credit card,20.75
Creative Mobile,1,3,2017-03-04,Saturday,18,236,161,789.0,1.7,1,Credit card,13.0
VeriFone,4,11,2017-11-05,Sunday,1,24,48,494.00000000000006,2.69,5,Cash,10.8
Creative Mobile,1,2,2017-02-24,Friday,11,142,142,268.0,0.6,1,Cash,5.8
VeriFone,1,2,2017-02-23,Thursday,8,140,161,831.0,2.11,1,Credit card,14.76
Creative Mobile,1,2,2017-02-12,Sunday,18,142,143,197.0,0.4,4,Credit card,5.52
VeriFone,4,12,2017-12-08,Friday,12,238,166,523.0,1.28,1,Credit card,13.3
VeriFone,3,9,2017-09-15,Friday,19,90,79,795.0,1.23,3,Credit card,13.56
Creative Mobile,1,2,2017-02-25,Saturday,7,170,113,534.0,2.0,1,Credit card,11.75
VeriFone,4,12,2017-12-08,Friday,7,116,239,981.0000000000001,4.52,1,Credit card,19.3
VeriFone,2,4,2017-04-26,Wednesday,11,234,211,392.0,1.12,2,Credit card,9.12
VeriFone,1,2,2017-02-15,Wednesday,17,249,113,300.0,0.59,1,Credit card,8.16
Creative Mobile,3,8,2017-08-14,Monday,17,239,230,596.0,1.5,1,Credit card,12.85
VeriFone,3,9,2017-09-05,Tuesday,15,162,186,905.0,1.71,4,Cash,11.3
VeriFone,1,1,2017-01-13,Friday,2,246,231,2410.0,8.69,4,Credit card,39.36
VeriFone,1,3,2017-03-11,Saturday,4,79,88,630.0,2.69,6,Cash,12.3
VeriFone,2,4,2017-04-27,Thursday,7,234,107,84.0,0.42,1,Credit card,5.16
VeriFone,3,7,2017-07-13,Thursday,8,263,88,1451.0,7.37,2,Cash,26.3
Creative Mobile,2,4,2017-04-04,Tuesday,16,163,90,807.0,2.2,1,Cash,12.3
Creative Mobile,1,1,2017-01-05,Thursday,14,100,237,1679.0,2.6,2,Cash,18.3
VeriFone,1,3,2017-03-28,Tuesday,19,151,239,197.0,0.8,1,Credit card,7.56
Creative Mobile,3,9,2017-09-01,Friday,9,24,48,1365.0,2.9,1,Cash,16.8
VeriFone,3,8,2017-08-17,Thursday,22,138,97,1554.0,11.07,1,Credit card,40.56
Creative Mobile,1,2,2017-02-10,Friday,11,238,161,1363.0,2.7,1,Credit card,20.35
VeriFone,1,3,2017-03-07,Tuesday,20,229,146,566.0,2.51,2,Credit card,14.69
VeriFone,1,3,2017-03-18,Saturday,12,230,50,494.00000000000006,0.78,1,Cash,7.8
VeriFone,1,3,2017-03-03,Friday,8,164,170,164.0,0.85,1,Credit card,6.89
VeriFone,2,4,2017-04-26,Wednesday,18,236,236,147.0,0.38,5,Credit card,6.96
VeriFone,2,4,2017-04-21,Friday,15,163,100,588.0,1.15,1,Credit card,10.56
VeriFone,1,2,2017-02-04,Saturday,18,141,243,889.0,7.16,1,Cash,21.8
VeriFone,4,10,2017-10-05,Thursday,9,48,48,184.0,0.22,6,Cash,21.8
Creative Mobile,1,3,2017-03-17,Friday,9,237,236,269.0,0.7,1,Credit card,6.95
VeriFone,4,12,2017-12-31,Sunday,13,161,229,220.0,0.71,6,Cash,5.3
VeriFone,4,12,2017-12-12,Tuesday,11,186,263,2918.0,3.1,1,Credit card,34.56
VeriFone,3,9,2017-09-03,Sunday,23,161,148,929.0000000000001,2.96,2,Credit card,17.16
Creative Mobile,4,12,2017-12-13,Wednesday,7,142,230,330.0,0.8,1,Credit card,7.3
VeriFone,3,8,2017-08-01,Tuesday,18,162,162,260.0,0.96,1,Cash,7.3
Creative Mobile,4,10,2017-10-10,Tuesday,14,144,68,856.0,1.9,4,Cash,11.3
VeriFone,3,8,2017-08-05,Saturday,22,43,43,367.0,0.97,4,Cash,7.8
VeriFone,3,8,2017-08-13,Sunday,3,68,246,213.0,0.95,2,Credit card,7.3
VeriFone,2,4,2017-04-25,Tuesday,22,166,24,285.0,1.02,4,Credit card,8.76
VeriFone,2,5,2017-05-01,Monday,9,13,231,302.0,0.78,1,Credit card,6.8
